Method,Nodes,Cyclomatic Complexity
org/assertj/core/internal/Dates.assertIsBeforeOrEqualsTo,35,2
org/assertj/core/internal/Dates.assertIsAfter,35,2
org/assertj/core/internal/Dates.assertIsAfterOrEqualsTo,35,2
org/assertj/core/internal/Dates.assertIsEqualWithPrecision,126,3
org/assertj/core/internal/Dates.assertIsBetween,32,2
org/assertj/core/internal/Dates.actualIsBetweenGivenPeriod,70,5
org/assertj/core/internal/Dates.assertIsNotBetween,32,2
org/assertj/core/internal/Dates.assertIsInThePast,30,2
org/assertj/core/internal/Dates.assertIsToday,40,2
org/assertj/core/internal/Dates.assertIsInTheFuture,30,2
org/assertj/core/internal/Dates.assertIsBeforeYear,28,2
org/assertj/core/internal/Dates.assertIsAfterYear,28,2
org/assertj/core/internal/Dates.assertHasYear,29,2
org/assertj/core/internal/Dates.assertHasMonth,29,2
org/assertj/core/internal/Dates.assertHasDayOfMonth,29,2
org/assertj/core/internal/Dates.assertHasDayOfWeek,29,2
org/assertj/core/internal/Dates.assertHasHourOfDay,29,2
org/assertj/core/internal/Dates.assertHasMinute,29,2
org/assertj/core/internal/Dates.assertHasSecond,29,2
org/assertj/core/internal/Dates.assertHasMillisecond,29,2
org/assertj/core/internal/Dates.assertIsInSameYearAs,32,2
org/assertj/core/internal/Dates.areInSameYear,15,2
org/assertj/core/internal/Dates.assertIsInSameMonthAs,32,2
org/assertj/core/internal/Dates.areInSameMonth,19,3
org/assertj/core/internal/Dates.assertIsInSameDayAs,32,2
org/assertj/core/internal/Dates.areInSameDayOfMonth,19,3
org/assertj/core/internal/Dates.assertIsInSameHourAs,32,2
org/assertj/core/internal/Dates.assertIsInSameHourWindowAs,32,2
org/assertj/core/internal/Dates.areInSameHourWindow,18,2
org/assertj/core/internal/Dates.areInSameHour,19,3
org/assertj/core/internal/Dates.assertIsInSameMinuteAs,32,2
org/assertj/core/internal/Dates.assertIsInSameMinuteWindowAs,32,2
org/assertj/core/internal/Dates.areInSameMinute,19,3
org/assertj/core/internal/Dates.areInSameMinuteWindow,18,2
org/assertj/core/internal/Dates.assertIsInSameSecondAs,32,2
org/assertj/core/internal/Dates.assertIsInSameSecondWindowAs,32,2
org/assertj/core/internal/Dates.areInSameSecondWindow,18,2
org/assertj/core/internal/Dates.areInSameSecond,19,3
org/assertj/core/internal/Dates.assertIsCloseTo,43,2
org/assertj/core/internal/Dates.assertHasTime,29,2
org/assertj/core/internal/Dates.assertHasSameTime,36,2
org/assertj/core/internal/Dates.hasSameTimeAs,22,1
org/assertj/core/internal/Dates.dateParameterIsNotNull,11,1
org/assertj/core/internal/Dates.startDateParameterIsNotNull,11,1
org/assertj/core/internal/Dates.endDateParameterIsNotNull,11,1
org/assertj/core/internal/Dates.assertNotNull,11,1
org/assertj/core/internal/Dates.isBeforeOrEqualTo,10,1
org/assertj/core/internal/Dates.areEqual,10,1
org/assertj/core/internal/Dates.isAfterOrEqualTo,10,1
org/assertj/core/internal/Dates.isBefore,10,1
org/assertj/core/internal/Dates.isAfter,10,1
org/assertj/core/internal/Dates.$SWITCH_TABLE$java$util$concurrent$TimeUnit,104,3
org/assertj/core/internal/Shorts.<clinit>,9,1
org/assertj/core/internal/Shorts.instance,6,1
org/assertj/core/internal/Shorts.<init>,9,1
org/assertj/core/internal/Shorts.<init>,10,1
org/assertj/core/internal/Shorts.zero,7,1
org/assertj/core/internal/Shorts.one,7,1
org/assertj/core/internal/Shorts.absDiff,13,1
org/assertj/core/internal/Shorts.isGreaterThan,15,2
org/assertj/core/internal/Shorts.one,7,1
org/assertj/core/internal/Shorts.isGreaterThan,11,1
org/assertj/core/internal/Shorts.zero,7,1
org/assertj/core/internal/Shorts.absDiff,11,1
org/assertj/core/internal/CommonValidations.<clinit>,7,1
org/assertj/core/internal/CommonValidations.<init>,7,1
org/assertj/core/internal/CommonValidations.checkIndexValueIsValid,46,2
org/assertj/core/internal/CommonValidations.checkOffsetIsNotNull,11,1
org/assertj/core/internal/CommonValidations.checkPercentageIsNotNull,11,1
org/assertj/core/internal/CommonValidations.checkNumberIsNotNull,11,1
org/assertj/core/internal/CommonValidations.checkIsNotEmpty,13,2
org/assertj/core/internal/CommonValidations.checkIsNotEmpty,14,2
org/assertj/core/internal/CommonValidations.checkIsNotNull,12,2
org/assertj/core/internal/CommonValidations.checkIsNotNull,12,2
org/assertj/core/internal/CommonValidations.checkIsNotNullAndNotEmpty,13,1
org/assertj/core/internal/CommonValidations.checkIsNotNullAndNotEmpty,13,1
org/assertj/core/internal/CommonValidations.failIfEmptySinceActualIsNotEmpty,16,2
org/assertj/core/internal/CommonValidations.hasSameSizeAsCheck,18,1
org/assertj/core/internal/CommonValidations.hasSameSizeAsCheck,18,1
org/assertj/core/internal/CommonValidations.hasSameSizeAsCheck,18,1
org/assertj/core/internal/CommonValidations.checkOtherIsNotNull,19,1
org/assertj/core/internal/CommonValidations.checkSameSizes,21,2
org/assertj/core/internal/CommonValidations.checkSizes,19,2
org/assertj/core/internal/CommonValidations.checkLineCounts,21,2
org/assertj/core/internal/CommonValidations.checkTypeIsNotNull,11,1
org/assertj/core/internal/CommonValidations.checkIterableIsNotNull,12,2
org/assertj/core/internal/CommonValidations.iterableToLookForIsNull,9,1
org/assertj/core/internal/CommonValidations.checkSequenceIsNotNull,15,2
org/assertj/core/internal/CommonValidations.checkSubsequenceIsNotNull,15,2
org/assertj/core/internal/Longs.<clinit>,9,1
org/assertj/core/internal/Longs.instance,6,1
org/assertj/core/internal/Longs.<init>,9,1
org/assertj/core/internal/Longs.<init>,10,1
org/assertj/core/internal/Longs.zero,7,1
org/assertj/core/internal/Longs.one,7,1
org/assertj/core/internal/Longs.absDiff,12,1
org/assertj/core/internal/Longs.isGreaterThan,16,2
org/assertj/core/internal/Longs.one,7,1
org/assertj/core/internal/Longs.isGreaterThan,11,1
org/assertj/core/internal/Longs.zero,7,1
org/assertj/core/internal/Longs.absDiff,11,1
org/assertj/core/internal/LongArrays.<clinit>,9,1
org/assertj/core/internal/LongArrays.instance,6,1
org/assertj/core/internal/LongArrays.<init>,10,1
org/assertj/core/internal/LongArrays.<init>,27,1
org/assertj/core/internal/LongArrays.setArrays,10,1
org/assertj/core/internal/LongArrays.getComparator,8,1
org/assertj/core/internal/LongArrays.assertNullOrEmpty,14,1
org/assertj/core/internal/LongArrays.assertEmpty,14,1
org/assertj/core/internal/LongArrays.assertNotEmpty,14,1
org/assertj/core/internal/LongArrays.assertHasSize,15,1
org/assertj/core/internal/LongArrays.assertHasSameSizeAs,13,1
org/assertj/core/internal/LongArrays.assertHasSameSizeAs,13,1
org/assertj/core/internal/LongArrays.assertContains,15,1
org/assertj/core/internal/LongArrays.assertContains,17,1
org/assertj/core/internal/LongArrays.assertDoesNotContain,17,1
org/assertj/core/internal/LongArrays.assertContainsOnly,15,1
org/assertj/core/internal/LongArrays.assertContainsExactly,15,1
org/assertj/core/internal/LongArrays.assertContainsExactlyInAnyOrder,15,1
org/assertj/core/internal/LongArrays.assertContainsOnlyOnce,15,1
org/assertj/core/internal/LongArrays.assertContainsSequence,15,1
org/assertj/core/internal/LongArrays.assertContainsSubsequence,15,1
org/assertj/core/internal/LongArrays.assertDoesNotContain,15,1
org/assertj/core/internal/LongArrays.assertDoesNotHaveDuplicates,14,1
org/assertj/core/internal/LongArrays.assertStartsWith,15,1
org/assertj/core/internal/LongArrays.assertEndsWith,15,1
org/assertj/core/internal/LongArrays.assertIsSorted,14,1
org/assertj/core/internal/LongArrays.assertIsSortedAccordingToComparator,13,1
org/assertj/core/internal/LongArrays.assertContainsAnyOf,15,1
org/assertj/core/internal/InputStreams.<clinit>,9,1
org/assertj/core/internal/InputStreams.instance,6,1
org/assertj/core/internal/InputStreams.<init>,21,1
org/assertj/core/internal/InputStreams.assertSameContentAs,67,3
org/assertj/core/internal/InputStreams.assertNotNull,11,1
org/assertj/core/internal/Comparables.<clinit>,9,1
org/assertj/core/internal/Comparables.instance,6,1
org/assertj/core/internal/Comparables.<init>,10,1
org/assertj/core/internal/Comparables.<init>,19,1
org/assertj/core/internal/Comparables.getComparator,20,2
org/assertj/core/internal/Comparables.setFailures,10,1
org/assertj/core/internal/Comparables.resetFailures,10,1
org/assertj/core/internal/Comparables.assertEqual,30,2
org/assertj/core/internal/Comparables.areEqual,10,1
org/assertj/core/internal/Comparables.assertNotEqual,30,2
org/assertj/core/internal/Comparables.assertEqualByComparison,29,2
org/assertj/core/internal/Comparables.assertNotEqualByComparison,27,2
org/assertj/core/internal/Comparables.assertLessThan,30,2
org/assertj/core/internal/Comparables.assertLessThanOrEqualTo,30,2
org/assertj/core/internal/Comparables.assertGreaterThan,30,2
org/assertj/core/internal/Comparables.isGreaterThan,10,1
org/assertj/core/internal/Comparables.assertGreaterThanOrEqualTo,30,2
org/assertj/core/internal/Comparables.isLessThan,10,1
org/assertj/core/internal/Comparables.assertNotNull,11,1
org/assertj/core/internal/Comparables.assertIsBetween,191,16
org/assertj/core/internal/NioFilesWrapper.<clinit>,9,1
org/assertj/core/internal/NioFilesWrapper.instance,6,1
org/assertj/core/internal/NioFilesWrapper.<init>,7,1
org/assertj/core/internal/NioFilesWrapper.isRegularFile,9,1
org/assertj/core/internal/NioFilesWrapper.isSymbolicLink,7,1
org/assertj/core/internal/NioFilesWrapper.isDirectory,9,1
org/assertj/core/internal/NioFilesWrapper.exists,8,1
org/assertj/core/internal/NioFilesWrapper.notExists,8,1
org/assertj/core/internal/NioFilesWrapper.isReadable,7,1
org/assertj/core/internal/NioFilesWrapper.isWritable,7,1
org/assertj/core/internal/NioFilesWrapper.isExecutable,7,1
org/assertj/core/internal/Objects$ByFieldsComparison.<init>,24,1
org/assertj/core/internal/Objects$ByFieldsComparison.<init>,18,1
org/assertj/core/internal/Objects$ByFieldsComparison.isFieldsNamesEmpty,8,1
org/assertj/core/internal/Objects$ByFieldsComparison.isFieldsNamesNotEmpty,15,2
org/assertj/core/internal/Objects$ByFieldsComparison.access$0,7,1
org/assertj/core/internal/Objects$ByFieldsComparison.access$1,7,1
org/assertj/core/internal/Objects$ByFieldsComparison.access$2,7,1
org/assertj/core/internal/Failures.<clinit>,13,1
org/assertj/core/internal/Failures.instance,6,1
org/assertj/core/internal/Failures.setRemoveAssertJRelatedElementsFromStackTrace,10,1
org/assertj/core/internal/Failures.isRemoveAssertJRelatedElementsFromStackTrace,7,1
org/assertj/core/internal/Failures.<init>,19,1
org/assertj/core/internal/Failures.failure,28,2
org/assertj/core/internal/Failures.failure,40,2
org/assertj/core/internal/Failures.failureIfErrorMessageIsOverridden,36,2
org/assertj/core/internal/Failures.failure,22,1
org/assertj/core/internal/Failures.expectedThrowableNotThrown,16,1
org/assertj/core/internal/Failures.printThreadDumpIfNeeded,15,2
org/assertj/core/internal/Failures.removeAssertJRelatedElementsFromStackTraceIfNeeded,15,2
org/assertj/core/internal/Failures.enablePrintThreadDump,10,1
org/assertj/core/internal/Failures.threadDumpDescription,114,3
org/assertj/core/internal/BooleanArrays.<clinit>,9,1
org/assertj/core/internal/BooleanArrays.instance,6,1
org/assertj/core/internal/BooleanArrays.<init>,19,1
org/assertj/core/internal/BooleanArrays.setArrays,10,1
org/assertj/core/internal/BooleanArrays.assertNullOrEmpty,14,1
org/assertj/core/internal/BooleanArrays.assertEmpty,14,1
org/assertj/core/internal/BooleanArrays.assertNotEmpty,14,1
org/assertj/core/internal/BooleanArrays.assertHasSize,15,1
org/assertj/core/internal/BooleanArrays.assertHasSameSizeAs,13,1
org/assertj/core/internal/BooleanArrays.assertHasSameSizeAs,13,1
org/assertj/core/internal/BooleanArrays.assertContains,15,1
org/assertj/core/internal/BooleanArrays.assertContains,17,1
org/assertj/core/internal/BooleanArrays.assertDoesNotContain,17,1
org/assertj/core/internal/BooleanArrays.assertContainsOnly,15,1
org/assertj/core/internal/BooleanArrays.assertContainsExactly,15,1
org/assertj/core/internal/BooleanArrays.assertContainsExactlyInAnyOrder,15,1
org/assertj/core/internal/BooleanArrays.assertContainsOnlyOnce,15,1
org/assertj/core/internal/BooleanArrays.assertContainsSequence,15,1
org/assertj/core/internal/BooleanArrays.assertContainsSubsequence,15,1
org/assertj/core/internal/BooleanArrays.assertDoesNotContain,15,1
org/assertj/core/internal/BooleanArrays.assertDoesNotHaveDuplicates,14,1
org/assertj/core/internal/BooleanArrays.assertStartsWith,15,1
org/assertj/core/internal/BooleanArrays.assertEndsWith,15,1
org/assertj/core/internal/BooleanArrays.assertIsSorted,14,1
org/assertj/core/internal/BooleanArrays.assertIsSortedAccordingToComparator,13,1
org/assertj/core/internal/BooleanArrays.assertContainsAnyOf,15,1
org/assertj/core/internal/BigDecimals.<clinit>,9,1
org/assertj/core/internal/BigDecimals.instance,6,1
org/assertj/core/internal/BigDecimals.<init>,9,1
org/assertj/core/internal/BigDecimals.<init>,10,1
org/assertj/core/internal/BigDecimals.zero,6,1
org/assertj/core/internal/BigDecimals.one,6,1
org/assertj/core/internal/BigDecimals.absDiff,9,1
org/assertj/core/internal/BigDecimals.isGreaterThan,16,2
org/assertj/core/internal/BigDecimals.one,7,1
org/assertj/core/internal/BigDecimals.isGreaterThan,11,1
org/assertj/core/internal/BigDecimals.zero,7,1
org/assertj/core/internal/BigDecimals.absDiff,11,1
org/assertj/core/internal/StandardComparisonStrategy.<clinit>,9,1
org/assertj/core/internal/StandardComparisonStrategy.instance,6,1
org/assertj/core/internal/StandardComparisonStrategy.<init>,9,1
org/assertj/core/internal/StandardComparisonStrategy.newSetUsingComparisonStrategy,12,1
org/assertj/core/internal/StandardComparisonStrategy.asText,6,1
org/assertj/core/internal/StandardComparisonStrategy.areEqual,8,1
org/assertj/core/internal/StandardComparisonStrategy.iterableContains,43,4
org/assertj/core/internal/StandardComparisonStrategy.iterableRemoves,40,4
org/assertj/core/internal/StandardComparisonStrategy.iterablesRemoveFirst,43,4
org/assertj/core/internal/StandardComparisonStrategy.duplicatesFrom,8,1
org/assertj/core/internal/StandardComparisonStrategy.stringStartsWith,8,1
org/assertj/core/internal/StandardComparisonStrategy.stringEndsWith,8,1
org/assertj/core/internal/StandardComparisonStrategy.stringContains,8,1
org/assertj/core/internal/StandardComparisonStrategy.isGreaterThan,22,2
org/assertj/core/internal/StandardComparisonStrategy.isLessThan,22,2
org/assertj/core/internal/StandardComparisonStrategy.checkArgumentIsComparable,17,1
org/assertj/core/internal/StandardComparisonStrategy.isStandard,6,1
org/assertj/core/internal/ObjectArrayElementComparisonStrategy.<init>,14,1
org/assertj/core/internal/ObjectArrayElementComparisonStrategy.areEqual,43,8
org/assertj/core/internal/ObjectArrayElementComparisonStrategy.compareElementsOf,47,4
org/assertj/core/internal/ObjectArrayElementComparisonStrategy.toString,20,1
org/assertj/core/internal/ObjectArrayElementComparisonStrategy.asText,16,1
org/assertj/core/internal/ObjectArrayElementComparisonStrategy.isStandard,6,1
org/assertj/core/internal/OnFieldsComparator.<init>,88,5
org/assertj/core/internal/OnFieldsComparator.<init>,16,1
org/assertj/core/internal/OnFieldsComparator.getFields,7,1
org/assertj/core/internal/OnFieldsComparator.areEqual,30,2
org/assertj/core/internal/OnFieldsComparator.toString,48,2
org/assertj/core/internal/Characters.<clinit>,9,1
org/assertj/core/internal/Characters.instance,6,1
org/assertj/core/internal/Characters.<init>,9,1
org/assertj/core/internal/Characters.<init>,10,1
org/assertj/core/internal/Characters.assertLowerCase,24,2
org/assertj/core/internal/Characters.assertUpperCase,24,2
org/assertj/core/internal/TypeComparators.<init>,16,1
org/assertj/core/internal/TypeComparators.get,98,7
org/assertj/core/internal/TypeComparators.put,13,1
org/assertj/core/internal/TypeComparators.isEmpty,8,1
org/assertj/core/internal/TypeComparators.hashCode,8,1
org/assertj/core/internal/TypeComparators.equals,20,3
org/assertj/core/internal/TypeComparators.toString,8,1
org/assertj/core/internal/Strings$Whitespace.<clinit>,11,1
org/assertj/core/internal/Strings$Whitespace.<init>,7,1
org/assertj/core/internal/Strings$Whitespace.isWhitespace,19,2
org/assertj/core/internal/Lists.<clinit>,9,1
org/assertj/core/internal/Lists.instance,6,1
org/assertj/core/internal/Lists.<init>,10,1
org/assertj/core/internal/Lists.<init>,19,1
org/assertj/core/internal/Lists.getComparator,20,2
org/assertj/core/internal/Lists.assertContains,55,2
org/assertj/core/internal/Lists.assertDoesNotContain,55,3
org/assertj/core/internal/Lists.assertIsSorted,107,6
org/assertj/core/internal/Lists.assertIsSortedAccordingToComparator,110,6
org/assertj/core/internal/Lists.assertHas,28,2
org/assertj/core/internal/Lists.assertIs,28,2
org/assertj/core/internal/Lists.conditionIsMetAtIndex,36,1
org/assertj/core/internal/Lists.listOfComparableElements,36,2
org/assertj/core/internal/Lists.assertNotNull,11,1
org/assertj/core/internal/Lists.assertNotNull,10,1
org/assertj/core/internal/Lists.areEqual,10,1
org/assertj/core/internal/Lists.getComparisonStrategy,7,1
org/assertj/core/internal/Throwables.<clinit>,9,1
org/assertj/core/internal/Throwables.instance,6,1
org/assertj/core/internal/Throwables.<init>,14,1
org/assertj/core/internal/Throwables.assertHasMessage,26,2
org/assertj/core/internal/Throwables.assertHasCause,66,5
org/assertj/core/internal/Throwables.assertHasNoCause,27,2
org/assertj/core/internal/Throwables.assertHasMessageStartingWith,30,3
org/assertj/core/internal/Throwables.assertHasMessageContaining,30,3
org/assertj/core/internal/Throwables.assertHasStackTraceContaining,32,3
org/assertj/core/internal/Throwables.assertHasMessageMatching,35,3
org/assertj/core/internal/Throwables.assertHasMessageEndingWith,30,3
org/assertj/core/internal/Throwables.assertHasCauseInstanceOf,30,2
org/assertj/core/internal/Throwables.assertHasCauseExactlyInstanceOf,37,3
org/assertj/core/internal/Throwables.assertHasRootCauseInstanceOf,30,2
org/assertj/core/internal/Throwables.assertHasRootCauseExactlyInstanceOf,37,3
org/assertj/core/internal/Throwables.assertHasNoSuppressedExceptions,28,2
org/assertj/core/internal/Throwables.assertHasSuppressedException,54,3
org/assertj/core/internal/Throwables.assertNotNull,11,1
org/assertj/core/internal/Throwables.compareThrowable,26,3
org/assertj/core/internal/BinaryDiff.<init>,7,1
org/assertj/core/internal/BinaryDiff.diff,10,1
org/assertj/core/internal/BinaryDiff.diff,89,6
org/assertj/core/internal/BinaryDiff.diff,47,4
org/assertj/core/internal/BigIntegers.<clinit>,9,1
org/assertj/core/internal/BigIntegers.instance,6,1
org/assertj/core/internal/BigIntegers.<init>,9,1
org/assertj/core/internal/BigIntegers.<init>,10,1
org/assertj/core/internal/BigIntegers.zero,6,1
org/assertj/core/internal/BigIntegers.one,6,1
org/assertj/core/internal/BigIntegers.absDiff,9,1
org/assertj/core/internal/BigIntegers.isGreaterThan,17,2
org/assertj/core/internal/BigIntegers.one,7,1
org/assertj/core/internal/BigIntegers.isGreaterThan,11,1
org/assertj/core/internal/BigIntegers.zero,7,1
org/assertj/core/internal/BigIntegers.absDiff,11,1
org/assertj/core/internal/DoubleArrays.<clinit>,9,1
org/assertj/core/internal/DoubleArrays.instance,6,1
org/assertj/core/internal/DoubleArrays.<init>,10,1
org/assertj/core/internal/DoubleArrays.<init>,27,1
org/assertj/core/internal/DoubleArrays.setArrays,10,1
org/assertj/core/internal/DoubleArrays.getComparator,8,1
org/assertj/core/internal/DoubleArrays.assertNullOrEmpty,14,1
org/assertj/core/internal/DoubleArrays.assertEmpty,14,1
org/assertj/core/internal/DoubleArrays.assertNotEmpty,14,1
org/assertj/core/internal/DoubleArrays.assertHasSize,15,1
org/assertj/core/internal/DoubleArrays.assertHasSameSizeAs,13,1
org/assertj/core/internal/DoubleArrays.assertHasSameSizeAs,13,1
org/assertj/core/internal/DoubleArrays.assertContains,15,1
org/assertj/core/internal/DoubleArrays.assertContains,17,1
org/assertj/core/internal/DoubleArrays.assertDoesNotContain,17,1
org/assertj/core/internal/DoubleArrays.assertContainsOnly,15,1
org/assertj/core/internal/DoubleArrays.assertContainsOnlyOnce,15,1
org/assertj/core/internal/DoubleArrays.assertContainsExactly,15,1
org/assertj/core/internal/DoubleArrays.assertContainsExactlyInAnyOrder,15,1
org/assertj/core/internal/DoubleArrays.assertContainsSequence,15,1
org/assertj/core/internal/DoubleArrays.assertContainsSubsequence,15,1
org/assertj/core/internal/DoubleArrays.assertDoesNotContain,15,1
org/assertj/core/internal/DoubleArrays.assertDoesNotHaveDuplicates,14,1
org/assertj/core/internal/DoubleArrays.assertStartsWith,15,1
org/assertj/core/internal/DoubleArrays.assertEndsWith,15,1
org/assertj/core/internal/DoubleArrays.assertIsSorted,14,1
org/assertj/core/internal/DoubleArrays.assertIsSortedAccordingToComparator,13,1
org/assertj/core/internal/DoubleArrays.assertContainsAnyOf,15,1
org/assertj/core/internal/Paths.<clinit>,9,1
org/assertj/core/internal/Paths.instance,6,1
org/assertj/core/internal/Paths.<init>,33,1
org/assertj/core/internal/Paths.<init>,10,1
org/assertj/core/internal/Paths.assertIsReadable,31,2
org/assertj/core/internal/Paths.assertIsWritable,31,2
org/assertj/core/internal/Paths.assertIsExecutable,31,2
org/assertj/core/internal/Paths.assertExists,27,2
org/assertj/core/internal/Paths.assertExistsNoFollowLinks,33,2
org/assertj/core/internal/Paths.assertDoesNotExist,33,2
org/assertj/core/internal/Paths.assertIsRegularFile,26,2
org/assertj/core/internal/Paths.assertIsDirectory,26,2
org/assertj/core/internal/Paths.assertIsSymbolicLink,26,2
org/assertj/core/internal/Paths.assertIsAbsolute,23,2
org/assertj/core/internal/Paths.assertIsRelative,23,2
org/assertj/core/internal/Paths.assertIsNormalized,25,2
org/assertj/core/internal/Paths.assertIsCanonical,39,3
org/assertj/core/internal/Paths.assertHasParent,94,4
org/assertj/core/internal/Paths.assertHasParentRaw,50,3
org/assertj/core/internal/Paths.assertHasNoParent,42,3
org/assertj/core/internal/Paths.assertHasNoParentRaw,23,2
org/assertj/core/internal/Paths.assertStartsWith,73,3
org/assertj/core/internal/Paths.assertStartsWithRaw,29,2
org/assertj/core/internal/Paths.assertEndsWith,49,3
org/assertj/core/internal/Paths.assertEndsWithRaw,29,2
org/assertj/core/internal/Paths.assertHasFileName,32,2
org/assertj/core/internal/Paths.assertNotNull,11,1
org/assertj/core/internal/Paths.checkExpectedParentPathIsNotNull,11,1
org/assertj/core/internal/Paths.assertExpectedStartPathIsNotNull,11,1
org/assertj/core/internal/Paths.assertExpectedEndPathIsNotNull,11,1
org/assertj/core/internal/Paths.assertHasContent,61,3
org/assertj/core/internal/Paths.assertHasBinaryContent,59,3
org/assertj/core/internal/Paths.assertHasSameContentAs,80,3
org/assertj/core/internal/Numbers.<init>,9,1
org/assertj/core/internal/Numbers.<init>,10,1
org/assertj/core/internal/Numbers.zero,2,1
org/assertj/core/internal/Numbers.one,2,1
org/assertj/core/internal/Numbers.assertIsZero,13,1
org/assertj/core/internal/Numbers.assertIsNotZero,13,1
org/assertj/core/internal/Numbers.assertIsOne,13,1
org/assertj/core/internal/Numbers.assertIsNegative,13,1
org/assertj/core/internal/Numbers.assertIsPositive,13,1
org/assertj/core/internal/Numbers.assertIsNotNegative,13,1
org/assertj/core/internal/Numbers.assertIsNotPositive,13,1
org/assertj/core/internal/Numbers.assertIsBetween,15,1
org/assertj/core/internal/Numbers.assertIsStrictlyBetween,15,1
org/assertj/core/internal/Numbers.assertIsCloseTo,53,3
org/assertj/core/internal/Numbers.assertIsNotCloseTo,51,3
org/assertj/core/internal/Numbers.assertIsCloseToPercentage,74,5
org/assertj/core/internal/Numbers.assertIsNotCloseToPercentage,73,5
org/assertj/core/internal/Numbers.absDiff,2,1
org/assertj/core/internal/Numbers.isGreaterThan,2,1
org/assertj/core/internal/Urls.<clinit>,9,1
org/assertj/core/internal/Urls.instance,6,1
org/assertj/core/internal/Urls.<init>,14,1
org/assertj/core/internal/Urls.assertHasProtocol,26,2
org/assertj/core/internal/Urls.assertHasPath,41,3
org/assertj/core/internal/Urls.assertHasPort,25,2
org/assertj/core/internal/Urls.assertHasHost,26,2
org/assertj/core/internal/Urls.assertHasAuthority,28,2
org/assertj/core/internal/Urls.assertHasQuery,26,2
org/assertj/core/internal/Urls.assertHasAnchor,26,2
org/assertj/core/internal/Urls.assertHasUserInfo,26,2
org/assertj/core/internal/Urls.assertHasParameter,31,2
org/assertj/core/internal/Urls.assertHasParameter,60,3
org/assertj/core/internal/Urls.assertHasNoParameters,31,2
org/assertj/core/internal/Urls.assertHasNoParameter,37,2
org/assertj/core/internal/Urls.assertHasNoParameter,48,3
org/assertj/core/internal/FloatArrays.<clinit>,9,1
org/assertj/core/internal/FloatArrays.instance,6,1
org/assertj/core/internal/FloatArrays.<init>,10,1
org/assertj/core/internal/FloatArrays.<init>,27,1
org/assertj/core/internal/FloatArrays.setArrays,10,1
org/assertj/core/internal/FloatArrays.getComparator,8,1
org/assertj/core/internal/FloatArrays.assertNullOrEmpty,14,1
org/assertj/core/internal/FloatArrays.assertEmpty,14,1
org/assertj/core/internal/FloatArrays.assertNotEmpty,14,1
org/assertj/core/internal/FloatArrays.assertHasSize,15,1
org/assertj/core/internal/FloatArrays.assertHasSameSizeAs,13,1
org/assertj/core/internal/FloatArrays.assertHasSameSizeAs,13,1
org/assertj/core/internal/FloatArrays.assertContains,15,1
org/assertj/core/internal/FloatArrays.assertContains,17,1
org/assertj/core/internal/FloatArrays.assertDoesNotContain,17,1
org/assertj/core/internal/FloatArrays.assertContainsOnly,15,1
org/assertj/core/internal/FloatArrays.assertContainsExactly,15,1
org/assertj/core/internal/FloatArrays.assertContainsExactlyInAnyOrder,15,1
org/assertj/core/internal/FloatArrays.assertContainsOnlyOnce,15,1
org/assertj/core/internal/FloatArrays.assertContainsSequence,15,1
org/assertj/core/internal/FloatArrays.assertContainsSubsequence,15,1
org/assertj/core/internal/FloatArrays.assertDoesNotContain,15,1
org/assertj/core/internal/FloatArrays.assertDoesNotHaveDuplicates,14,1
org/assertj/core/internal/FloatArrays.assertStartsWith,15,1
org/assertj/core/internal/FloatArrays.assertEndsWith,15,1
org/assertj/core/internal/FloatArrays.assertIsSorted,14,1
org/assertj/core/internal/FloatArrays.assertIsSortedAccordingToComparator,13,1
org/assertj/core/internal/FloatArrays.assertContainsAnyOf,15,1
org/assertj/core/internal/AbstractComparisonStrategy.<init>,7,1
org/assertj/core/internal/AbstractComparisonStrategy.duplicatesFrom,63,4
org/assertj/core/internal/AbstractComparisonStrategy.newSetUsingComparisonStrategy,2,1
org/assertj/core/internal/AbstractComparisonStrategy.arrayContains,40,3
org/assertj/core/internal/AbstractComparisonStrategy.isLessThan,29,3
org/assertj/core/internal/AbstractComparisonStrategy.isLessThanOrEqualTo,21,2
org/assertj/core/internal/AbstractComparisonStrategy.isGreaterThanOrEqualTo,21,2
org/assertj/core/internal/AbstractComparisonStrategy.asText,2,1
org/assertj/core/internal/AbstractComparisonStrategy.isStandard,6,1
org/assertj/core/internal/Doubles.<clinit>,9,1
org/assertj/core/internal/Doubles.instance,6,1
org/assertj/core/internal/Doubles.<init>,9,1
org/assertj/core/internal/Doubles.<init>,10,1
org/assertj/core/internal/Doubles.zero,7,1
org/assertj/core/internal/Doubles.one,7,1
org/assertj/core/internal/Doubles.NaN,7,1
org/assertj/core/internal/Doubles.absDiff,12,1
org/assertj/core/internal/Doubles.one,7,1
org/assertj/core/internal/Doubles.zero,7,1
org/assertj/core/internal/Doubles.NaN,7,1
org/assertj/core/internal/Doubles.absDiff,11,1
org/assertj/core/internal/IterableElementComparisonStrategy.<init>,14,1
org/assertj/core/internal/IterableElementComparisonStrategy.areEqual,47,8
org/assertj/core/internal/IterableElementComparisonStrategy.compareElementsOf,54,4
org/assertj/core/internal/IterableElementComparisonStrategy.toString,20,1
org/assertj/core/internal/IterableElementComparisonStrategy.asText,16,1
org/assertj/core/internal/IterableElementComparisonStrategy.isStandard,6,1
